,coef,odds_ratio,pvalue,pr_sq,N,major_city,state,isp,model,intercept,probability_treatment,probability_exposure,odds_directional,is_coef_positive,probability_delta,perc_probability
"C(race_quantile, Treatment('most white'))[T.least white]",1.2608773122746482,3.5285157400240106,4.2094393909002274e-65,0.03565549064659379,13231,Virginia Beach,VA,Verizon,race_quantile_controls,-1.2168550653053596,0.22849037415524404,0.5110037847267882,3.5285157400240106,True,0.28251341057154417,2.236434627130485
"C(race_quantile, Treatment('most white'))[T.least white]",-0.6722928969377084,0.5105366268503418,2.8419711584448205e-16,0.07710404699044482,15120,Washington,DC,Verizon,race_quantile_controls,-0.6532074924269522,0.34226710068404825,0.2099046276156364,-0.5105366268503418,False,-0.13236247306841184,0.6132772539228141
"C(race_quantile, Treatment('most white'))[T.least white]",1.0258021884436517,2.7893321333322505,6.901357970698145e-15,0.06987279769978438,9208,Atlanta,GA,EarthLink,race_quantile_controls,-3.6547512236476485,0.025215655159212313,0.06729838893719997,2.7893321333322505,True,0.04208273377798766,2.6689129634854285
"C(race_quantile, Treatment('most white'))[T.least white]",0.046394877613248724,1.0474879588462578,0.7540997399670941,0.09440928938897442,3132,Charleston,SC,EarthLink,race_quantile_controls,-0.3552539190119642,0.41210894187513875,0.42339325832252084,1.0474879588462578,True,0.011284316447382092,1.027381877219255
"C(race_quantile, Treatment('most white'))[T.least white]",-0.4132652021540328,0.6614868318312196,1.9575908921163697e-05,0.02760720279191775,15222,Charlotte,NC,EarthLink,race_quantile_controls,-2.2867853740921,0.09222332001043444,0.0629703717343698,-0.6614868318312196,False,-0.029252948276064644,0.6828031318677871
"C(race_quantile, Treatment('most white'))[T.least white]",0.7569918642678447,2.131853660202362,2.79119110247903e-50,0.06269324057382064,27829,Chicago,IL,EarthLink,race_quantile_controls,-2.9538228118939416,0.04955614547792085,0.10003543225232842,2.131853660202362,True,0.050479286774407564,2.018628190057639
"C(race_quantile, Treatment('most white'))[T.least white]",0.041685498114583046,1.0425665380425937,0.36923209762499065,0.006324771049063482,22597,Columbus,OH,EarthLink,race_quantile_controls,0.15846042793509454,0.5395324209549411,0.5498701161654402,1.0425665380425937,True,0.010337695210499098,1.0191604708243518
"C(race_quantile, Treatment('most white'))[T.least white]",0.5753385704325221,1.777732312632861,1.1752262624734065e-25,0.03252896144179562,45981,Houston,TX,EarthLink,race_quantile_controls,-3.1804665223087683,0.03990745538315731,0.06880912236721401,1.777732312632861,True,0.028901666984056697,1.72421723476397
"C(race_quantile, Treatment('most white'))[T.least white]",-0.09021979542513778,0.9137303294522185,0.6578881298094912,0.02405975786401593,3789,Huntsville,AL,EarthLink,race_quantile_controls,-2.805941039416401,0.05700397638109364,0.05234367334774712,-0.9137303294522185,False,-0.004660303033346518,0.9182460009071896
"C(race_quantile, Treatment('most white'))[T.least white]",0.08256151660466556,1.0860654824450284,0.2602044944960793,0.017674015197476245,10645,Indianapolis,IN,EarthLink,race_quantile_controls,-1.957983102980818,0.12368548789740348,0.13291564523758992,1.0860654824450284,True,0.009230157340186437,1.074626033313163
"C(race_quantile, Treatment('most white'))[T.least white]",-0.37643805388931983,0.6863016300867539,2.702019381470675e-09,0.015636745479489345,18273,Jacksonville,FL,EarthLink,race_quantile_controls,-2.0702807019277,0.1120191138616895,0.07967883159112335,-0.6863016300867539,False,-0.03234028227056615,0.7112967496734812
"C(race_quantile, Treatment('most white'))[T.least white]",0.5557487469723618,1.7432457462195923,1.6218311106646039e-18,0.041210474823379695,13405,Kansas City,MO,EarthLink,race_quantile_controls,0.3929888359117488,0.5970019931663167,0.7208612248883461,1.7432457462195923,True,0.1238592317220294,1.207468707206684
"C(race_quantile, Treatment('most white'))[T.least white]",2.0554958689999574,7.810710001479619,3.4636889243454864e-05,0.043169202006220986,11928,Las Vegas,NV,EarthLink,race_quantile_controls,-19.310345537353147,4.107934286570924e-09,3.208588251984341e-08,7.810710001479619,True,2.7977948233272487e-08,7.810709782951989
"C(race_quantile, Treatment('most white'))[T.least white]",0.10259927839135391,1.1080473016030652,0.45677138668087713,0.049097061755397076,5290,Little Rock,AR,EarthLink,race_quantile_controls,-2.1575745012799197,0.10362553293653586,0.11355062718188584,1.1080473016030652,True,0.009925094245349986,1.095778462740727
"C(race_quantile, Treatment('most white'))[T.least white]",-0.35768924806664304,0.6992903470732507,9.633952753945539e-15,0.06794176356542514,30510,Los Angeles,CA,EarthLink,race_quantile_controls,-1.68904158848072,0.15590192214759524,0.11438312907423216,-0.6992903470732507,False,-0.04151879307336308,0.7336864581178385
"C(race_quantile, Treatment('most white'))[T.least white]",1.0733933463322334,2.925289196317165,6.223096802041642e-21,0.09383716420617083,7821,Louisville,KY,EarthLink,race_quantile_controls,-3.1303655811409614,0.041871937968771276,0.11334976926583433,2.925289196317165,True,0.07147783129706306,2.7070581101446103
"C(race_quantile, Treatment('most white'))[T.least white]",-0.3934066980078025,0.6747542705576941,1.417939922374179e-05,0.026107026613465423,13031,Milwaukee,WI,EarthLink,race_quantile_controls,-1.6912222669404338,0.1556151677514663,0.11059980562963996,-0.6747542705576941,False,-0.045015362121826344,0.7107263850158836
"C(race_quantile, Treatment('most white'))[T.least white]",-0.11842039276015064,0.8883225297467795,0.2625158236558848,0.03601677435267181,8245,Nashville,TN,EarthLink,race_quantile_controls,-1.7405548145754393,0.14924247648070518,0.13482254460066745,-0.8883225297467795,False,-0.014419931880037734,0.9033791704608841
"C(race_quantile, Treatment('most white'))[T.least white]",0.7749269105434297,2.1704334855820155,1.3145955465406077e-17,0.07010193405398402,7370,New Orleans,LA,EarthLink,race_quantile_controls,-2.24787470891275,0.09553294586423683,0.1864949765569637,2.1704334855820155,True,0.09096203069272688,1.9521535201269127
"C(race_quantile, Treatment('most white'))[T.least white]",1.0058584036080305,2.7342533586859483,7.22934568025029e-31,0.08966138400575474,13654,Oklahoma City,OK,EarthLink,race_quantile_controls,-1.5523306139334885,0.1747499099661593,0.36668326979482946,2.7342533586859483,True,0.19193335982867016,2.09833166647032
"C(race_quantile, Treatment('most white'))[T.least white]",0.25932061133641443,1.2960492663109897,0.004498508356994727,0.03188531077153234,10195,Wichita,KS,EarthLink,race_quantile_controls,-1.5601488196931554,0.17362529339914043,0.21402566384437507,1.2960492663109897,True,0.040400370445234646,1.2326871255581398
