income_level,No service,Slow (<25 Mbps),Medium (25-99),Fast (100-199),Blazing (≥200),major_city
Low,0.0,67.8388090349076,24.589322381930184,4.363449691991787,3.2084188911704308,las vegas
Middle-Lower,0.0,40.79666753449622,40.95287685498568,9.94532673782869,8.305128872689403,las vegas
Middle-Upper,0.0,34.614385873799016,39.26252921319138,11.867047520124643,14.256037392884965,las vegas
Upper Income,0.0,40.972404730617605,35.137976346911955,10.091984231274639,13.797634691195796,las vegas
