race_quantile,No service,Slow (<25 Mbps),Medium (25-99),Fast (100-199),Blazing (≥200),major_city
most white,0.0,44.77981197427016,0.09896091044037605,0.0,55.121227115289464,new orleans
more white,0.0,59.257425742574256,0.04950495049504951,0.0,40.69306930693069,new orleans
less white,0.0,66.19094488188976,0.4921259842519685,0.0,33.31692913385827,new orleans
least white,0.0,76.81886603110888,0.2007024586051179,0.0,22.980431510286,new orleans
