No service,Slow (<25 Mbps),Medium (25-99),Fast (100-199),Blazing (≥200),major_city,state
0.0,0.11323598681111635,0.12322185586434291,0.03749411210551107,0.7260480452190297,Atlanta,GA
0.0,0.19511561444531048,0.35541699142634453,0.0740452065471551,0.3754221875811899,Charleston,SC
0.0,0.061016433353621426,0.14059646987218502,0.027743964292960034,0.7706431324812335,Charlotte,NC
0.0,0.23437574147012766,0.2562046220281877,0.23525364210126704,0.2741659944004176,Chicago,IL
0.0,0.11370512715675853,0.5327500204432087,0.13431188159293483,0.2192329708070979,Columbus,OH
0.0,0.38258476750151577,0.31537708129285014,0.15708222564246072,0.14495592556317335,Detroit,MI
0.0,0.09398276479794837,0.2379174445135864,0.07931210046953668,0.5887876902189285,Houston,TX
0.0,0.11752988047808766,0.023683045595396194,0.002434705621956618,0.8563523683045595,Huntsville,AL
0.0,0.19180127596036378,0.34294828288312745,0.1001764626035021,0.36507397855300666,Indianapolis,IN
0.0,0.17282010997643363,0.589159465828751,0.09295627127520294,0.14506415291961247,Jackson,MS
0.0,0.07406257278161633,0.3472168309913827,0.07433429081593045,0.5043863054110705,Jacksonville,FL
0.0,0.29412906984270826,0.4728461389086672,0.0810408440675772,0.15198394718104732,Kansas City,MO
0.0,0.11884197056941778,0.26951375559820856,0.060140754958413305,0.5515035188739603,Little Rock,AR
0.0,0.35875746173649814,0.20069595722409256,0.09998019633915184,0.34056638470025746,Los Angeles,CA
0.0,0.1737142857142857,0.13794285714285714,0.040228571428571426,0.6481142857142858,Louisville,KY
0.0,0.1094300518134715,0.2918134715025907,0.12138169257340242,0.4773747841105354,Milwaukee,WI
0.0,0.13028001898433791,0.1079734219269103,0.02028951115329853,0.7414570479354533,Nashville,TN
0.0,0.6171584428465162,0.0021076121993553187,0.0,0.38073394495412843,New Orleans,LA
0.0,0.26240339802961477,0.20576957111674826,0.03934871099050204,0.4924783198631349,Oklahoma City,OK
0.0,0.136768661735037,0.26975453934095495,0.06573638197713517,0.5277404169468729,Wichita,KS
