redlining_grade,No service,Slow (<25 Mbps),Medium (25-99),Fast (100-199),Blazing (≥200)
A,0.0,4.234527687296417,24.104234527687296,5.211726384364821,66.44951140065146
B,0.0,14.757709251101323,13.876651982378855,3.0837004405286343,68.28193832599119
C,0.0,43.79500211774672,21.6857263871241,8.640406607369759,25.878864887759423
D,0.0,68.4931506849315,18.34786218347862,5.64549605645496,7.513491075134911
