income_level,No service,Slow (<25 Mbps),Medium (25-99),Fast (100-199),Blazing (≥200)
Low,0.0,54.05620360551432,30.16967126193001,7.025450689289501,8.748674443266172
Middle-Lower,0.0,33.23560767590618,46.32196162046908,9.008528784648187,11.433901918976545
Middle-Upper,0.0,17.529348986125935,62.540021344717175,9.338313767342584,10.5923159018143
Upper Income,0.0,11.022151054176675,51.427808913797705,7.072324526287697,30.477715505737923
