race_quantile,No service,Slow (<25 Mbps),Medium (25-100),Fast (100-200),Blazing (>200),major_city
most white,0.0,13.97163120567376,33.156028368794324,8.404255319148936,44.46808510638298,cleveland
more white,0.0,30.27330063069376,17.449194113524875,5.4309740714786265,46.846531184302734,cleveland
less while,0.0,48.96744837241862,12.88064403220161,2.905145257262863,35.2467623381169,cleveland
least white,0.0,42.96270232230823,11.294862772695286,4.1520056298381425,41.59042927515834,cleveland
