race_quantile,No service,Slow (<25 Mbps),Medium (25-99),Fast (100-199),Blazing (≥200),major_city
most white,0.0,39.80238155561186,39.77704585761337,12.186470737268811,8.234101849505954,las vegas
more white,0.0,37.359836901121305,40.90214067278288,8.511722731906218,13.226299694189603,las vegas
less white,0.0,36.67775787048886,43.58843102124392,11.441003327361146,8.292807780906065,las vegas
least white,0.0,71.27385250128933,15.858690046415678,3.8164002062919034,9.051057246003094,las vegas
