major_city,isp,Adjusted,Observed,state
Louisville,AT&T,43.9220327443593,31.823840629201793,KY
Detroit,AT&T,35.55381023361521,47.62720383544714,MI
Kansas City,AT&T,26.664324703889164,56.394385252832755,MO
New Orleans,AT&T,22.830065493694974,30.24604230716258,LA
Columbus,AT&T,10.12894258885209,19.519871370762953,OH
Milwaukee,AT&T,9.78698504009263,15.91266448819707,WI
Wichita,AT&T,9.18146549446697,20.385733784345213,KS
Houston,AT&T,7.193802951540366,10.596959584723741,TX
Indianapolis,AT&T,5.910591007942427,14.44719885220438,IN
Atlanta,AT&T,4.981684142637416,12.980308074253843,GA
Chicago,AT&T,3.559774137838316,8.242520698898906,IL
Nashville,AT&T,1.3315006819772102,7.157140162233426,TN
Charlotte,AT&T,0.3572675587280458,13.803048510530648,NC
Los Angeles,AT&T,0.2101130079183916,6.48399584079466,CA
Newark,Verizon,26.62655942618601,18.364018115879148,NJ
Phoenix,CenturyLink,51.398027679201064,42.13363245614909,AZ
Minneapolis,CenturyLink,22.442707850975186,47.13639788997735,MN
Des Moines,CenturyLink,17.614112224097834,24.182390386953635,IA
Seattle,CenturyLink,4.548103804065697,15.310230188107704,WA
Portland,CenturyLink,4.0074552188051715,22.70310670315142,OR
Denver,CenturyLink,3.7651586386746505,18.312504304687657,CO
Salt Lake City,CenturyLink,0.45772230807977904,14.71511957004693,UT
Detroit,EarthLink,35.349609812841784,42.71122655416669,MI
Louisville,EarthLink,26.037128464238446,27.159877470960204,KY
New Orleans,EarthLink,24.6412583915918,25.17142839431983,LA
Kansas City,EarthLink,17.283485152808677,58.79856441744315,MO
Houston,EarthLink,8.338438900187084,11.04928457869631,TX
Milwaukee,EarthLink,8.259848358552524,15.538988183404118,WI
Indianapolis,EarthLink,5.8052821818394555,14.097835350582738,IN
Wichita,EarthLink,3.3665345160027393,11.997792494481239,KS
Chicago,EarthLink,2.8884608228435256,9.128693575125343,IL
Atlanta,EarthLink,2.5551719107867554,8.379530948782396,GA
Los Angeles,EarthLink,1.4546186507812087,8.013874556645877,CA
Columbus,EarthLink,0.06771645353376593,15.082755227286215,OH
Charlotte,EarthLink,-0.022150777789392822,6.693894220951615,NC
Nashville,EarthLink,-6.044747979325951,-8.432998283624324,TN
