redlining_grade,No service,Slow (<25 Mbps),Medium (25-100),Fast (100-200),Blazing (>200),major_city
A,0.0,3.2828282828282833,19.94949494949495,2.525252525252525,74.24242424242425,cleveland
B,0.0,5.913570887035633,21.834723275208493,9.931766489764973,62.3199393479909,cleveland
C,0.0,25.887265135699373,20.40235338773961,5.503890681343709,48.20649079521731,cleveland
D,0.0,59.16955017301038,14.677047289504037,4.1234140715109575,22.029988465974625,cleveland
