No service,Slow (<25 Mbps),Medium (25-99),Fast (100-199),Blazing (≥200),major_city,state
0.0,0.20827795709132332,0.5578127966584393,0.2193532054933232,0.01455604075691412,Albuquerque,NM
0.0,0.7500657721652196,0.22125756379900027,0.014206787687450671,0.014469876348329387,Billings,MT
0.0,0.12207077953132472,0.5217599234815877,0.19033955045432807,0.16582974653275945,Boise,ID
0.0,0.3967322999581064,0.44030163385002097,0.11855886049434436,0.044407205697528276,Cheyenne,WY
0.0,0.13370516297395488,0.1410735301642532,0.12495522693547562,0.6002660799263163,Denver,CO
0.0,0.372044140830268,0.27850761954808195,0.1070239971974076,0.24242424242424243,Des Moines,IA
0.0,0.3471216821785591,0.5356773526370218,0.029644950017235435,0.08755601516718373,Fargo,ND
0.0,0.4620592743995912,0.35085590189064897,0.0900613183444047,0.09702350536535513,Las Vegas,NV
0.0,0.2222222222222222,0.12794612794612795,0.08978675645342311,0.5600448933782267,Minneapolis,MN
0.0,0.35332791608184977,0.17714412351333383,0.06892221319346975,0.4006057472113467,Omaha,NE
0.0,0.2381575666915981,0.44075666915981054,0.20203814510097232,0.11904761904761904,Phoenix,AZ
0.0,0.19750278030532809,0.08805985239106258,0.006015569709837226,0.7084217975937721,Portland,OR
0.0,0.2908565928777671,0.07795957651588066,0.06641000962463908,0.5647738209817131,Salt Lake City,UT
0.0,0.28453562270041255,0.04381759393466384,0.032556583788605195,0.6390901995763184,Seattle,WA
0.0,0.5366655136630923,0.3734002075406434,0.024213075060532687,0.06572120373573158,Sioux Falls,SD
