income_level,No service,Slow (<25 Mbps),Medium (25-100),Fast (100-200),Blazing (≥200),major_city
Low,0.0,60.79672375279226,10.424422933730455,2.7922561429635144,25.986597170513775,cleveland
Moderate,0.0,33.00861745972274,19.25814911952042,5.807418508804796,41.925814911952045,cleveland
Middle,0.0,20.119895091794678,19.48295241663544,5.582615211689772,54.814537279880106,cleveland
Upper Income,0.0,15.666289165722914,26.50056625141563,7.512268780671952,50.320875802189505,cleveland
