income_level,No service,Slow (<25 Mbps),Medium (25-99),Fast (100-199),Blazing (≥200),major_city
Low,0.0,80.70362473347548,0.053304904051172705,0.0,19.243070362473347,new orleans
Middle-Lower,0.0,67.56756756756756,0.43243243243243246,0.0,32.0,new orleans
Middle-Upper,0.0,49.839228295819936,0.10718113612004287,0.0,50.053590568060024,new orleans
Upper Income,0.0,43.810548977395044,0.05382131324004305,0.0,56.135629709364906,new orleans
