race_quantile,No service,Slow (<25 Mbps),Medium (25-99),Fast (100-199),Blazing (≥200)
most white,0.0,16.09907120743034,48.710010319917444,6.475748194014448,28.71517027863777
more white,0.0,18.82931882931883,58.94845894845895,10.126910126910127,12.095312095312096
less white,0.0,32.52200932159503,50.98394614189539,8.959088555152771,7.53495598135681
least white,0.0,50.31168831168831,30.441558441558442,6.857142857142858,12.38961038961039
